From	Entry	Entry Name	Protein names	Gene Names	Organism
"Q13614	Myotubularin-related protein 2"	Q13614	MTMR2_HUMAN	Phosphatidylinositol-3,5-bisphosphate 3-phosphatase MTMR2 (EC 3.1.3.95) (Myotubularin-related protein 2) (Phosphatidylinositol-3-phosphate phosphatase)	MTMR2 KIAA1073	Homo sapiens (Human)
"Q09666	Neuroblast differentiation-associated protein AHNAK"	Q09666	AHNK_HUMAN	Neuroblast differentiation-associated protein AHNAK (Desmoyokin)	AHNAK PM227	Homo sapiens (Human)
"P59665	Neutrophil defensin 1"	P59665	DEF1_HUMAN	Neutrophil defensin 1 (Defensin, alpha 1) (HNP-1 (HP-1) (HP1))	DEFA1 DEF1 DEFA2 MRS DEFA1B	Homo sapiens (Human)
"P05204	Non-histone chromosomal protein HMG-17"	P05204	HMGN2_HUMAN	Non-histone chromosomal protein HMG-17 (High mobility group nucleosome-binding domain-containing protein 2)	HMGN2 HMG17	Homo sapiens (Human)
"Q96KG9	N-terminal kinase-like protein"	Q96KG9	SCYL1_HUMAN	N-terminal kinase-like protein (Coated vesicle-associated kinase of 90 kDa) (SCY1-like protein 1) (Telomerase regulation-associated protein) (Telomerase transcriptional element-interacting factor) (Teratoma-associated tyrosine kinase)	SCYL1 CVAK90 GKLP NTKL TAPK TEIF TRAP	Homo sapiens (Human)
"A8CG34	Nuclear envelope pore membrane protein POM 121C"	A8CG34	P121C_HUMAN	Nuclear envelope pore membrane protein POM 121C (Nuclear pore membrane protein 121-2 (POM121-2)) (Pore membrane protein of 121 kDa C)	POM121C	Homo sapiens (Human)
"P23284	Peptidyl-prolyl cis-trans isomerase B"	P23284	PPIB_HUMAN	Peptidyl-prolyl cis-trans isomerase B (PPIase B) (EC 5.2.1.8) (CYP-S1) (Cyclophilin B) (Rotamase B) (S-cyclophilin (SCYLP))	PPIB CYPB	Homo sapiens (Human)
"P0CG39	POTE ankyrin domain family member J"	P0CG39	POTEJ_HUMAN	POTE ankyrin domain family member J	POTEJ	Homo sapiens (Human)
"J3KPF0	Probable E3 ubiquitin-protein ligase HECTD4"	J3KPF0	J3KPF0_HUMAN	HECT domain E3 ubiquitin protein ligase 4	HECTD4	Homo sapiens (Human)
"Q99623	Prohibitin-2"	Q99623	PHB2_HUMAN	Prohibitin-2 (B-cell receptor-associated protein BAP37) (D-prohibitin) (Repressor of estrogen receptor activity)	PHB2 BAP REA	Homo sapiens (Human)
"D6RDA2	Protein DEK (Fragment)"	D6RDA2	D6RDA2_HUMAN	DEK proto-oncogene	DEK	Homo sapiens (Human)
"P00352	Retinal dehydrogenase 1"	P00352	AL1A1_HUMAN	Aldehyde dehydrogenase 1A1 (EC 1.2.1.19) (EC 1.2.1.28) (EC 1.2.1.3) (EC 1.2.1.36) (3-deoxyglucosone dehydrogenase) (ALDH-E1) (ALHDII) (Aldehyde dehydrogenase family 1 member A1) (Aldehyde dehydrogenase, cytosolic) (Retinal dehydrogenase 1 (RALDH 1) (RalDH1))	ALDH1A1 ALDC ALDH1 PUMB1	Homo sapiens (Human)
"B9ZVT1	RNA-binding protein 12B"	B9ZVT1	B9ZVT1_HUMAN	RNA-binding protein 12B (RNA-binding motif protein 12B)	RBM12B	Homo sapiens (Human)
"Q9NWH9	SAFB-like transcription modulator"	Q9NWH9	SLTM_HUMAN	SAFB-like transcription modulator (Modulator of estrogen-induced transcription)	SLTM MET	Homo sapiens (Human)
"P62136	Serine/threonine-protein phosphatase PP1-alpha catalytic subunit"	P62136	PP1A_HUMAN	Serine/threonine-protein phosphatase PP1-alpha catalytic subunit (PP-1A) (EC 3.1.3.16)	PPP1CA PPP1A	Homo sapiens (Human)
"P62140	Serine/threonine-protein phosphatase PP1-beta catalytic subunit"	P62140	PP1B_HUMAN	Serine/threonine-protein phosphatase PP1-beta catalytic subunit (PP-1B) (PPP1CD) (EC 3.1.3.16) (EC 3.1.3.53)	PPP1CB	Homo sapiens (Human)
"P36873	Serine/threonine-protein phosphatase PP1-gamma catalytic subunit"	P36873	PP1G_HUMAN	Serine/threonine-protein phosphatase PP1-gamma catalytic subunit (PP-1G) (EC 3.1.3.16) (Protein phosphatase 1C catalytic subunit)	PPP1CC	Homo sapiens (Human)
"P10768	S-formylglutathione hydrolase"	P10768	ESTD_HUMAN	S-formylglutathione hydrolase (FGH) (EC 3.1.2.12) (Esterase D) (Methylumbelliferyl-acetate deacetylase (EC 3.1.1.56))	ESD	Homo sapiens (Human)
"Q96SB8	Structural maintenance of chromosomes protein 6"	Q96SB8	SMC6_HUMAN	Structural maintenance of chromosomes protein 6 (SMC protein 6) (SMC-6) (hSMC6)	SMC6 SMC6L1	Homo sapiens (Human)
"Q6PGP7	Tetratricopeptide repeat protein 37"	Q6PGP7	SKI3_HUMAN	Superkiller complex protein 3 (Ski3) (Tetratricopeptide repeat protein 37 (TPR repeat protein 37)) (Tricho-hepatic-enteric syndrome protein (Thespin))	SKIC3 KIAA0372 TTC37	Homo sapiens (Human)
"P62995	Transformer-2 protein homolog beta"	P62995	TRA2B_HUMAN	Transformer-2 protein homolog beta (TRA-2 beta) (TRA2-beta) (hTRA2-beta) (Splicing factor, arginine/serine-rich 10) (Transformer-2 protein homolog B)	TRA2B SFRS10	Homo sapiens (Human)
"B7Z596	Tropomyosin alpha-1 chain"	B7Z596	B7Z596_HUMAN	cDNA FLJ55130, highly similar to Rattus norvegicus tropomyosin 1, alpha (Tpm1), transcript variant 8, mRNA		Homo sapiens (Human)
"Q8WU90	Zinc finger CCCH domain-containing protein 15"	Q8WU90	ZC3HF_HUMAN	Zinc finger CCCH domain-containing protein 15 (DRG family-regulatory protein 1) (Likely ortholog of mouse immediate early response erythropoietin 4)	ZC3H15 DFRP1 LEREPO4	Homo sapiens (Human)
