From	Entry	Entry Name	Protein names	Gene Names	Organism
"VSTM2A	V-set and transmembrane domain-containing protein 2A"	Q8TAG5	VTM2A_HUMAN	V-set and transmembrane domain-containing protein 2A	VSTM2A VSTM2	Homo sapiens (Human)
"MRPS21	28S ribosomal protein S21, mitochondrial"	P82921	RT21_HUMAN	Small ribosomal subunit protein bS21m (28S ribosomal protein S21, mitochondrial (MRP-S21) (S21mt))	MRPS21 RPMS21	Homo sapiens (Human)
"TRIM21	E3 ubiquitin-protein ligase TRIM21"	P19474	RO52_HUMAN	E3 ubiquitin-protein ligase TRIM21 (EC 2.3.2.27) (52 kDa Ro protein) (52 kDa ribonucleoprotein autoantigen Ro/SS-A) (RING finger protein 81) (Ro(SS-A)) (Sjoegren syndrome type A antigen (SS-A)) (Tripartite motif-containing protein 21)	TRIM21 RNF81 RO52 SSA1	Homo sapiens (Human)
"KIAA0556	Protein KIAA0556"	O60303	KATIP_HUMAN	Katanin-interacting protein	KATNIP KIAA0556	Homo sapiens (Human)
"CROCC	Rootletin"	Q5TZA2	CROCC_HUMAN	Rootletin (Ciliary rootlet coiled-coil protein)	CROCC KIAA0445	Homo sapiens (Human)
"LIPE	Hormone-sensitive lipase"	Q05469	LIPS_HUMAN	Hormone-sensitive lipase (HSL) (EC 3.1.1.79) (Monoacylglycerol lipase LIPE (EC 3.1.1.23)) (Retinyl ester hydrolase (REH))	LIPE	Homo sapiens (Human)
"TAF3	Transcription initiation factor TFIID subunit 3"	Q5VWG9	TAF3_HUMAN	Transcription initiation factor TFIID subunit 3 (140 kDa TATA box-binding protein-associated factor) (TBP-associated factor 3) (Transcription initiation factor TFIID 140 kDa subunit (TAF(II)140) (TAF140) (TAFII-140) (TAFII140))	TAF3	Homo sapiens (Human)
"FBXW8	F-box/WD repeat-containing protein 8"	Q8N3Y1	FBXW8_HUMAN	F-box/WD repeat-containing protein 8 (F-box and WD-40 domain-containing protein 8) (F-box only protein 29)	FBXW8 FBW6 FBW8 FBX29 FBXO29 FBXW6	Homo sapiens (Human)
"OR4A15	Olfactory receptor 4A15"	Q8NGL6	O4A15_HUMAN	Olfactory receptor 4A15 (Olfactory receptor OR11-118)	OR4A15	Homo sapiens (Human)
"GRIN2D	Glutamate receptor ionotropic, NMDA 2D"	O15399	NMDE4_HUMAN	Glutamate receptor ionotropic, NMDA 2D (GluN2D) (EB11) (Glutamate [NMDA] receptor subunit epsilon-4) (N-methyl D-aspartate receptor subtype 2D (NMDAR2D) (NR2D))	GRIN2D GluN2D NMDAR2D	Homo sapiens (Human)
"GRM6	Metabotropic glutamate receptor 6"	O15303	GRM6_HUMAN	Metabotropic glutamate receptor 6 (mGluR6)	GRM6 GPRC1F MGLUR6	Homo sapiens (Human)
"TOPAZ1	Testis- and ovary-specific PAZ domain-containing protein 1"	Q8N9V7	TOPZ1_HUMAN	Protein TOPAZ1 (Testis- and ovary-specific PAZ domain-containing protein 1)	TOPAZ1 C3orf77	Homo sapiens (Human)
"ACADVL	Very long-chain-specific acyl-CoA dehydrogenase, mitochondrial"	P49748	ACADV_HUMAN	Very long-chain acyl-CoA dehydrogenase, mitochondrial (VLCAD) (EC 1.3.8.9) (Long-chain acyl-CoA dehydrogenase, mitochondrial (EC 1.3.8.8))	ACADVL VLCAD	Homo sapiens (Human)
