From	Entry	Entry Name	Protein names	Gene Names	Organism
"P16949	Stathmin"	P16949	STMN1_HUMAN	Stathmin (Leukemia-associated phosphoprotein p18) (Metablastin) (Oncoprotein 18 (Op18)) (Phosphoprotein p19 (pp19)) (Prosolin) (Protein Pr22) (pp17)	STMN1 C1orf215 LAP18 OP18	Homo sapiens (Human)
"Q5K651	Sterile alpha motif domain-containing protein 9"	Q5K651	SAMD9_HUMAN	Sterile alpha motif domain-containing protein 9 (SAM domain-containing protein 9)	SAMD9 C7orf5 DRIF1 KIAA2004 OEF1	Homo sapiens (Human)
"P38646	Stress-70 protein, mitochondrial"	P38646	HSPA9_HUMAN	Stress-70 protein, mitochondrial (EC 3.6.4.10) (75 kDa glucose-regulated protein (GRP-75)) (Heat shock 70 kDa protein 9) (Heat shock protein family A member 9) (Mortalin (MOT)) (Peptide-binding protein 74 (PBP74))	HSPA9 GRP75 HSPA9B mt-HSP70	Homo sapiens (Human)
"Q9HCN8	Stromal cell-derived factor 2-like protein 1"	Q9HCN8	SDF2L_HUMAN	Stromal cell-derived factor 2-like protein 1 (SDF2-like protein 1) (PWP1-interacting protein 8)	SDF2L1	Homo sapiens (Human)
"Q13586	Stromal interaction molecule 1"	Q13586	STIM1_HUMAN	Stromal interaction molecule 1	STIM1 GOK	Homo sapiens (Human)
"Q8WU79	Stromal membrane-associated protein 2"	Q8WU79	SMAP2_HUMAN	Stromal membrane-associated protein 2 (Stromal membrane-associated protein 1-like)	SMAP2 SMAP1L	Homo sapiens (Human)
"O95347	Structural maintenance of chromosomes protein 2"	O95347	SMC2_HUMAN	Structural maintenance of chromosomes protein 2 (SMC protein 2) (SMC-2) (Chromosome-associated protein E (hCAP-E)) (XCAP-E homolog)	SMC2 CAPE SMC2L1	Homo sapiens (Human)
"Q9UQE7	Structural maintenance of chromosomes protein 3"	Q9UQE7	SMC3_HUMAN	Structural maintenance of chromosomes protein 3 (SMC protein 3) (SMC-3) (Basement membrane-associated chondroitin proteoglycan (Bamacan)) (Chondroitin sulfate proteoglycan 6) (Chromosome-associated polypeptide (hCAP))	SMC3 BAM BMH CSPG6 SMC3L1	Homo sapiens (Human)
"Q9UH99	SUN domain-containing protein 2"	Q9UH99	SUN2_HUMAN	SUN domain-containing protein 2 (Protein unc-84 homolog B) (Rab5-interacting protein (Rab5IP)) (Sad1/unc-84 protein-like 2)	SUN2 FRIGG KIAA0668 RAB5IP UNC84B	Homo sapiens (Human)
"Q9NQ55	Suppressor of SWI4 1 homolog"	Q9NQ55	SSF1_HUMAN	Suppressor of SWI4 1 homolog (Ssf-1) (Brix domain-containing protein 3) (Peter Pan homolog)	PPAN BXDC3 SSF1	Homo sapiens (Human)
