From	Entry	Entry Name	Protein names	Gene Names	Organism
"P09874	Poly [ADP-ribose] polymerase 1"	P09874	PARP1_HUMAN	Poly [ADP-ribose] polymerase 1 (PARP-1) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 1 (ARTD1)) (DNA ADP-ribosyltransferase PARP1 (EC 2.4.2.-)) (NAD(+) ADP-ribosyltransferase 1 (ADPRT 1)) (Poly[ADP-ribose] synthase 1) (Protein poly-ADP-ribosyltransferase PARP1 (EC 2.4.2.-))	PARP1 ADPRT PPOL	Homo sapiens (Human)
"O75182	Paired amphipathic helix protein Sin3b"	O75182	SIN3B_HUMAN	Paired amphipathic helix protein Sin3b (Histone deacetylase complex subunit Sin3b) (Transcriptional corepressor Sin3b)	SIN3B KIAA0700	Homo sapiens (Human)
"P43354	Nuclear receptor subfamily 4 group A member 2"	P43354	NR4A2_HUMAN	Nuclear receptor subfamily 4 group A member 2 (Immediate-early response protein NOT) (Orphan nuclear receptor NURR1) (Transcriptionally-inducible nuclear receptor)	NR4A2 NOT NURR1 TINUR	Homo sapiens (Human)
"Q9UJW0	Dynactin subunit 4"	Q9UJW0	DCTN4_HUMAN	Dynactin subunit 4 (Dyn4) (Dynactin subunit p62)	DCTN4	Homo sapiens (Human)
"Q9H4B7	Tubulin beta-1 chain"	Q9H4B7	TBB1_HUMAN	Tubulin beta-1 chain	TUBB1	Homo sapiens (Human)
"Q9H3R1	Bifunctional heparan sulfate N-deacetylase/N- sulfotransferase 4"	Q9H3R1	NDST4_HUMAN	N-heparan sulfate sulfotransferase 4 (NDST-4) (EC 2.8.2.8)	NDST4 HSST4	Homo sapiens (Human)
"Q2VY69	Zinc finger protein 284"	Q2VY69	ZN284_HUMAN	Zinc finger protein 284	ZNF284 ZNF284L	Homo sapiens (Human)
"O75541	Zinc finger protein 821"	O75541	ZN821_HUMAN	Zinc finger protein 821	ZNF821	Homo sapiens (Human)
"Q96QB1	Rho GTPase-activating protein 7"	Q96QB1	RHG07_HUMAN	Rho GTPase-activating protein 7 (Deleted in liver cancer 1 protein (DLC-1)) (HP protein) (Rho-type GTPase-activating protein 7) (START domain-containing protein 12 (StARD12)) (StAR-related lipid transfer protein 12)	DLC1 ARHGAP7 KIAA1723 STARD12	Homo sapiens (Human)
"Q9NWS8	Required for meiotic nuclear division protein 1 homolog"	Q9NWS8	RMND1_HUMAN	Required for meiotic nuclear division protein 1 homolog	RMND1 C6orf96	Homo sapiens (Human)
"Q8N8I0	Sterile alpha motif domain containing 12."	Q8N8I0	SAM12_HUMAN	Sterile alpha motif domain-containing protein 12 (SAM domain-containing protein 12)	SAMD12	Homo sapiens (Human)
"P51553	Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial"	P51553	IDH3G_HUMAN	Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial (Isocitric dehydrogenase subunit gamma) (NAD(+)-specific ICDH subunit gamma)	IDH3G	Homo sapiens (Human)
"P52789	Hexokinase-2"	P52789	HXK2_HUMAN	Hexokinase-2 (EC 2.7.1.1) (Hexokinase type II (HK II)) (Hexokinase-B) (Muscle form hexokinase)	HK2	Homo sapiens (Human)
"Q9H069	Dynein regulatory complex subunit 3"	Q9H069	DRC3_HUMAN	Dynein regulatory complex subunit 3 (Leucine-rich repeat-containing protein 48)	DRC3 LRRC48	Homo sapiens (Human)
