From	Entry	Entry Name	Protein names	Gene Names	Organism
"P35527	Keratin, type I cytoskeletal 9"	P35527	K1C9_HUMAN	Keratin, type I cytoskeletal 9 (Cytokeratin-9 (CK-9)) (Keratin-9 (K9))	KRT9	Homo sapiens (Human)
"P04259	Keratin, type II cytoskeletal 6B"	P04259	K2C6B_HUMAN	Keratin, type II cytoskeletal 6B (Cytokeratin-6B (CK-6B)) (Keratin-6B (K6B)) (Type-II keratin Kb10)	KRT6B K6B KRTL1	Homo sapiens (Human)
"Q9BZD4	Kinetochore protein Nuf2"	Q9BZD4	NUF2_HUMAN	Kinetochore protein Nuf2 (hNuf2) (hNuf2R) (hsNuf2) (Cell division cycle-associated protein 1)	NUF2 CDCA1 NUF2R	Homo sapiens (Human)
"Q9NPJ6	Mediator of RNA polymerase II transcription subunit 4"	Q9NPJ6	MED4_HUMAN	Mediator of RNA polymerase II transcription subunit 4 (Activator-recruited cofactor 36 kDa component (ARC36)) (Mediator complex subunit 4) (TRAP/SMCC/PC2 subunit p36 subunit) (Vitamin D3 receptor-interacting protein complex 36 kDa component (DRIP36))	MED4 ARC36 DRIP36 VDRIP	Homo sapiens (Human)
"Q9BQG0	Myb-binding protein 1A"	Q9BQG0	MBB1A_HUMAN	Myb-binding protein 1A	MYBBP1A P160	Homo sapiens (Human)
"Q7Z406	Myosin-14"	Q7Z406	MYH14_HUMAN	Myosin-14 (Myosin heavy chain 14) (Myosin heavy chain, non-muscle IIc) (Non-muscle myosin heavy chain IIc (NMHC II-C))	MYH14 KIAA2034	Homo sapiens (Human)
"O14745	Na(+)/H(+) exchange regulatory cofactor NHE-RF1"	O14745	NHRF1_HUMAN	Na(+)/H(+) exchange regulatory cofactor NHE-RF1 (NHERF-1) (Ezrin-radixin-moesin-binding phosphoprotein 50 (EBP50)) (Regulatory cofactor of Na(+)/H(+) exchanger) (Sodium-hydrogen exchanger regulatory factor 1) (Solute carrier family 9 isoform A3 regulatory factor 1)	NHERF1 NHERF SLC9A3R1	Homo sapiens (Human)
"A0A5F9ZHR3	Nesprin-1"	A0A5F9ZHR3	A0A5F9ZHR3_HUMAN	Spectrin repeat containing nuclear envelope protein 1	SYNE1	Homo sapiens (Human)
"G3V5X4	Nesprin-2"	G3V5X4	G3V5X4_HUMAN	Spectrin repeat containing nuclear envelope protein 2	SYNE2	Homo sapiens (Human)
"Q96SB3	Neurabin-2"	Q96SB3	NEB2_HUMAN	Neurabin-2 (Neurabin-II) (Protein phosphatase 1 regulatory subunit 9B) (Spinophilin)	PPP1R9B PPP1R6	Homo sapiens (Human)
"Q09666	Neuroblast differentiation-associated protein AHNAK"	Q09666	AHNK_HUMAN	Neuroblast differentiation-associated protein AHNAK (Desmoyokin)	AHNAK PM227	Homo sapiens (Human)
"Q7Z417	Nuclear fragile X mental retardation-interacting protein 2"	Q7Z417	NUFP2_HUMAN	FMR1-interacting protein NUFIP2 (82 kDa FMRP-interacting protein (82-FIP)) (Cell proliferation-inducing gene 1 protein) (FMRP-interacting protein 2) (Nuclear FMR1-interacting protein 2)	NUFIP2 KIAA1321	Homo sapiens (Human)
"Q92621	Nuclear pore complex protein Nup205"	Q92621	NU205_HUMAN	Nuclear pore complex protein Nup205 (205 kDa nucleoporin) (Nucleoporin Nup205)	NUP205 C7orf14 KIAA0225	Homo sapiens (Human)
