Entry	Entry Name	Gene	Gene Names	Protein names	Reviewed	Ribosomal	RP Gene	RP Nomenclature	RP Subunit	Evidence	N studies	N datasets	Studies	Cell lines	Systems	Datasets	Accessions	Source labels	Caveats	Notes
P62979	RS27A_HUMAN	RPS27A	RPS27A UBA80 UBCEP1	Ubiquitin-ribosomal protein eS31 fusion protein (Ubiquitin carboxyl extension protein 80)	yes	yes	RPS27A	eS31	40S	in-cell	1	1	Donnellan 2022	WIL2-NS	in-cell, 500 uM MGO 24 h	donnellan-2022-wil2ns	P62979	P62979 | Ubiquitin-40S ribosomal protein S27a		
P62987	RL40_HUMAN	UBA52	UBA52 UBCEP2	Ubiquitin-ribosomal protein eL40 fusion protein (CEP52) (Ubiquitin A-52 residue ribosomal protein fusion product 1)	yes	yes	RPL40	eL40	60S	in-cell	1	1	Alhujaily 2021	HEK293	in-cell, 131 uM MG 6 h	alhujaily-2021-hek293	P62987	UBA52 | Ubiquitin-60S ribosomal protein L40	alhujaily-2021-hek293: supplement covers ~21% of the 681 reported	
P83731	RL24_HUMAN	RPL24	RPL24	Large ribosomal subunit protein eL24 (60S ribosomal protein L24) (60S ribosomal protein L30)	yes	yes	RPL24	eL24	60S	in-cell	1	1	Donnellan 2022	WIL2-NS	in-cell, 500 uM MGO 24 h	donnellan-2022-wil2ns	P83731	P83731 | 60S ribosomal protein L24		
Q02878	RL6_HUMAN	RPL6	RPL6 TXREB1	Large ribosomal subunit protein eL6 (60S ribosomal protein L6) (Neoplasm-related protein C140) (Tax-responsive enhancer element-binding protein 107)	yes	yes	RPL6	eL6	60S	cell-free	1	1	Irshad 2019	HMEC-1	cell-free lysate + 500 uM MG	irshad-2019-hmec1	Q02878	60S ribosomal protein L6 | RPL6		
A0A087WT57	A0A087WT57_HUMAN			Uncharacterized protein	no					in-cell	1	1	Donnellan 2022	WIL2-NS	in-cell, 500 uM MGO 24 h	donnellan-2022-wil2ns	A0A087WT57	A0A087WT57 | Uncharacterized protein (Fragment)		
A0A087WUL8	NBPFJ_HUMAN	NBPF19	NBPF19	NBPF family member NBPF19 (Neuroblastoma breakpoint family member 19)	yes					in-cell	1	1	Zheng 2024	SH-SY5Y	in-cell, 0-1000 uM MGO	zheng-2024-shsy5y-fig4	A0A087WUL8	NBPF19	zheng-2024-shsy5y-fig4: recovered from Fig. 4 heatmap labels	
A0A2R8Y5P7	A0A2R8Y5P7_HUMAN	HARS2	HARS2	histidine--tRNA ligase (Histidyl-tRNA synthetase)	no					in-cell	1	1	Donnellan 2022	WIL2-NS	in-cell, 500 uM MGO 24 h	donnellan-2022-wil2ns	A0A2R8Y5P7	A0A2R8Y5P7 | Probable histidine--tRNA ligase, mitochondrial		
A0A5H1ZRS1	A0A5H1ZRS1_HUMAN	PCM1	PCM1	Pericentriolar material 1	no					in-cell	1	1	Donnellan 2022	WIL2-NS	in-cell, 500 uM MGO 24 h	donnellan-2022-wil2ns	A0A5H1ZRS1	A0A5H1ZRS1 | Pericentriolar material 1 protein		
A6BM72	MEG11_HUMAN	MEGF11	MEGF11 KIAA1781	Multiple epidermal growth factor-like domains protein 11	yes					in-cell	1	1	Alhujaily 2021	HEK293	in-cell, 131 uM MG 6 h	alhujaily-2021-hek293	A6BM72	MEGF11 | Multiple epidermal growth factor-like domains protein 11	alhujaily-2021-hek293: supplement covers ~21% of the 681 reported	
A6NCF5	KLH33_HUMAN	KLHL33	KLHL33	Kelch-like protein 33	yes					in-cell	1	1	Alhujaily 2021	HEK293	in-cell, 131 uM MG 6 h	alhujaily-2021-hek293	A6NCF5	KLHL33 | Kelch-like protein 33	alhujaily-2021-hek293: supplement covers ~21% of the 681 reported	
