From	Entry	Entry Name	Protein names	Gene Names	Organism	Source	Notes
"P48634	Protein PRRC2A"	P48634	PRC2A_HUMAN	Protein PRRC2A (HLA-B-associated transcript 2) (Large proline-rich protein BAT2) (Proline-rich and coiled-coil-containing protein 2A) (Protein G2)	PRRC2A BAT2 G2	Homo sapiens (Human)	auto	
"Q9P258	Protein RCC2"	Q9P258	RCC2_HUMAN	Protein RCC2 (RCC1-like protein TD-60) (Telophase disk protein of 60 kDa)	RCC2 KIAA1470 TD60	Homo sapiens (Human)	auto	
"P21980	Protein-glutamine gamma-glutamyltransferase 2"	P21980	TGM2_HUMAN	Protein-glutamine gamma-glutamyltransferase 2 (EC 2.3.2.13) (Erythrocyte transglutaminase) (Heart G alpha(h) (hhG alpha(h))) (Isopeptidase TGM2 (EC 3.4.-.-)) (Protein G alpha(h) (G(h))) (Protein-glutamine deamidase TGM2 (EC 3.5.1.44)) (Protein-glutamine dopaminyltransferase TGM2 (EC 2.3.1.-)) (Protein-glutamine histaminyltransferase TGM2 (EC 2.3.1.-)) (Protein-glutamine noradrenalinyltransferase TGM2 (EC 2.3.1.-)) (Protein-glutamine serotonyltransferase TGM2 (EC 2.3.1.-)) (Tissue transglutaminase (tTG) (tTgase)) (Transglutaminase C (TG(C)) (TGC) (TGase C)) (Transglutaminase H (TGase H)) (Transglutaminase II (TGase II)) (Transglutaminase-2 (TG2) (TGase-2) (hTG2))	TGM2	Homo sapiens (Human)	auto	
"Q58FF8	Putative heat shock protein HSP 90-beta 2"	Q58FF8	H90B2_HUMAN	Putative heat shock protein HSP 90-beta 2 (Heat shock protein 90-beta b (Heat shock protein 90Bb))	HSP90AB2P HSP90BB	Homo sapiens (Human)	auto	
"P50395	Rab GDP dissociation inhibitor beta"	P50395	GDIB_HUMAN	Rab GDP dissociation inhibitor beta (Rab GDI beta) (Guanosine diphosphate dissociation inhibitor 2 (GDI-2))	GDI2 RABGDIB	Homo sapiens (Human)	auto	
"A0A2R8Y5S7	Radixin"	A0A2R8Y5S7	A0A2R8Y5S7_HUMAN	Radixin	RDX	Homo sapiens (Human)	auto	
"P51149	Ras-related protein Rab-7a"	P51149	RAB7A_HUMAN	Ras-related protein Rab-7a (EC 3.6.5.2)	RAB7A RAB7	Homo sapiens (Human)	auto	
"E7EVL6	Replication initiator 1 (Fragment)"	E7EVL6	E7EVL6_HUMAN	Replication initiator 1	REPIN1	Homo sapiens (Human)	auto	
"A0A087WWE7	Ribosomal biogenesis factor"	A0A087WWE7	A0A087WWE7_HUMAN	Ribosomal biogenesis factor	RBIS	Homo sapiens (Human)	auto	
"O43295	SLIT-ROBO Rho GTPase-activating protein 3"	O43295	SRGP3_HUMAN	SLIT-ROBO Rho GTPase-activating protein 3 (srGAP3) (Mental disorder-associated GAP) (Rho GTPase-activating protein 14) (WAVE-associated Rac GTPase-activating protein (WRP))	SRGAP3 ARHGAP14 KIAA0411 KIAA1156 MEGAP SRGAP2	Homo sapiens (Human)	auto	
"Q3KQZ1	Solute carrier family 25 member 35"	Q3KQZ1	S2535_HUMAN	Solute carrier family 25 member 35	SLC25A35	Homo sapiens (Human)	auto	
"Q01082	Spectrin beta chain, non-erythrocytic 1"	Q01082	SPTB2_HUMAN	Spectrin beta chain, non-erythrocytic 1 (Beta-II spectrin) (Fodrin beta chain) (Spectrin, non-erythroid beta chain 1)	SPTBN1 SPTB2	Homo sapiens (Human)	auto	
