From	Entry	Entry Name	Protein names	Gene Names	Organism	Source	Notes
"VDAC1_HUMAN	Voltage-dependent anion- selective channel protein 1"	P21796	VDAC1_HUMAN	Non-selective voltage-gated ion channel VDAC1 (Outer mitochondrial membrane protein porin 1) (Plasmalemmal porin) (Porin 31HL) (Porin 31HM) (Voltage-dependent anion-selective channel protein 1 (VDAC-1) (hVDAC1))	VDAC1 VDAC	Homo sapiens (Human)	auto	
"6PGD_HUMAN	6-phosphogluconate dehydrogenase, decarboxylating"	P52209	6PGD_HUMAN	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	PGD PGDH	Homo sapiens (Human)	auto	
"CH60_HUMAN	60 kDa heat shock protein, mitochondrial"	P10809	CH60_HUMAN	60 kDa heat shock protein, mitochondrial (EC 5.6.1.7) (60 kDa chaperonin) (Chaperonin 60 (CPN60)) (Heat shock protein 60 (HSP-60) (Hsp60)) (Heat shock protein family D member 1) (HuCHA60) (Mitochondrial matrix protein P1) (P60 lymphocyte protein)	HSPD1 HSP60	Homo sapiens (Human)	auto	
"ACON_HUMAN	Aconitate hydratase, mitochondrial"	Q99798	ACON_HUMAN	Aconitate hydratase, mitochondrial (Aconitase) (EC 4.2.1.3) (Citrate hydro-lyase)	ACO2	Homo sapiens (Human)	auto	
"ANXA4_HUMAN	Annexin A4"	P09525	ANXA4_HUMAN	Annexin A4 (35-beta calcimedin) (Annexin IV) (Annexin-4) (Carbohydrate-binding protein p33/p41) (Chromobindin-4) (Endonexin I) (Lipocortin IV) (P32.5) (PP4-X) (Placental anticoagulant protein II (PAP-II)) (Protein II)	ANXA4 ANX4	Homo sapiens (Human)	auto	
"CALM3_HUMAN	Calmodulin"	P0DP25	CALM3_HUMAN	Calmodulin-3	CALM3 CALML2 CAM3 CAMC CAMIII	Homo sapiens (Human)	auto	
"EF2_HUMAN	Elongation factor 2"	P13639	EF2_HUMAN	Elongation factor 2 (EF-2) (EC 3.6.5.-)	EEF2 EF2	Homo sapiens (Human)	auto	
"ERP44_HUMAN	Endoplasmic reticulum resident protein 44"	Q9BS26	ERP44_HUMAN	Endoplasmic reticulum resident protein 44 (ER protein 44) (ERp44) (Thioredoxin domain-containing protein 4)	ERP44 KIAA0573 TXNDC4	Homo sapiens (Human)	auto	
"G6PI_HUMAN	Glucose-6-phosphate isomerase (Fragment)"	P06744	G6PI_HUMAN	Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Autocrine motility factor (AMF)) (D-hexose-6-phosphate anomerase) (Glucose-6-phosphate C2-epimerase (EC 5.1.3.-)) (Neuroleukin (NLK)) (Phosphoglucose isomerase (PGI)) (Phosphohexose isomerase (PHI)) (Sperm antigen 36 (SA-36))	GPI	Homo sapiens (Human)	auto	
"HS90B_HUMAN	Heat shock protein HSP 90- beta"	P08238	HS90B_HUMAN	Heat shock protein HSP 90-beta (HSP 90) (Heat shock 84 kDa (HSP 84) (HSP84)) (Heat shock protein family C member 3)	HSP90AB1 HSP90B HSPC2 HSPC3 HSPCB	Homo sapiens (Human)	auto	
"ROA2_HUMAN	Heterogeneous nuclear ribonucleoproteins A2/B1"	P22626	ROA2_HUMAN	Heterogeneous nuclear ribonucleoproteins A2/B1 (hnRNP A2/B1)	HNRNPA2B1 HNRPA2B1	Homo sapiens (Human)	auto	
"IKIP_HUMAN	Isoform 4 of Inhibitor of nuclear factor kappa-B kinase- interacting protein"	Q70UQ0	IKIP_HUMAN	Inhibitor of nuclear factor kappa-B kinase-interacting protein (I kappa-B kinase-interacting protein) (IKBKB-interacting protein) (IKK-interacting protein)	IKBIP IKIP	Homo sapiens (Human)	auto	
"LDHB_HUMAN	L-lactate dehydrogenase B chain"	P07195	LDHB_HUMAN	L-lactate dehydrogenase B chain (LDH-B) (EC 1.1.1.27) (LDH heart subunit (LDH-H)) (Renal carcinoma antigen NY-REN-46)	LDHB	Homo sapiens (Human)	auto	
"MDHM_HUMAN	Malate dehydrogenase, mitochondrial"	P40926	MDHM_HUMAN	Malate dehydrogenase, mitochondrial (EC 1.1.1.37)	MDH2	Homo sapiens (Human)	auto	
"PGRC2_HUMAN	Membrane-associated progesterone receptor component 2"	O15173	PGRC2_HUMAN	Membrane-associated progesterone receptor component 2 (Progesterone membrane-binding protein) (Steroid receptor protein DG6)	PGRMC2 DG6 PMBP	Homo sapiens (Human)	auto	
"MAP1B_HUMAN	Microtubule-associated protein 1B"	P46821	MAP1B_HUMAN	Microtubule-associated protein 1B (MAP-1B)	MAP1B	Homo sapiens (Human)	auto	
