From	Entry	Entry Name	Protein names	Gene Names	Organism	Source	Notes
KIF22	Q14807	KIF22_HUMAN	Kinesin-like protein KIF22 (Kinesin-like DNA-binding protein) (Kinesin-like protein 4)	KIF22 KID KNSL4	Homo sapiens (Human)	auto	
Q5T7B8	Q5T7B8	KIF24_HUMAN	Kinesin-like protein KIF24	KIF24 C9orf48	Homo sapiens (Human)	auto	
KPNB1	Q14974	IMB1_HUMAN	Importin subunit beta-1 (Importin-90) (Karyopherin subunit beta-1) (Nuclear factor p97) (Pore targeting complex 97 kDa subunit (PTAC97))	KPNB1 NTF97	Homo sapiens (Human)	auto	
Q13751	Q13751	LAMB3_HUMAN	Laminin subunit beta-3 (Epiligrin subunit beta) (Kalinin B1 chain) (Kalinin subunit beta) (Laminin B1k chain) (Laminin-5 subunit beta) (Nicein subunit beta)	LAMB3 LAMNB1	Homo sapiens (Human)	auto	
LAMTOR5	O43504	LTOR5_HUMAN	Ragulator complex protein LAMTOR5 (Hepatitis B virus X-interacting protein (HBV X-interacting protein) (HBX-interacting protein)) (Late endosomal/lysosomal adaptor and MAPK and MTOR activator 5)	LAMTOR5 HBXIP XIP	Homo sapiens (Human)	auto	
LDHA	P00338	LDHA_HUMAN	L-lactate dehydrogenase A chain (LDH-A) (EC 1.1.1.27) (Cell proliferation-inducing gene 19 protein) (LDH muscle subunit (LDH-M)) (Renal carcinoma antigen NY-REN-59)	LDHA	Homo sapiens (Human)	auto	
LGALS1	P09382	LEG1_HUMAN	Galectin-1 (Gal-1) (14 kDa laminin-binding protein (HLBP14)) (14 kDa lectin) (Beta-galactoside-binding lectin L-14-I) (Galaptin) (HBL) (HPL) (Lactose-binding lectin 1) (Lectin galactoside-binding soluble 1) (Putative MAPK-activating protein PM12) (S-Lac lectin 1)	LGALS1	Homo sapiens (Human)	auto	
LTBP3	Q9NS15	LTBP3_HUMAN	Latent-transforming growth factor beta-binding protein 3 (LTBP-3)	LTBP3	Homo sapiens (Human)	auto	
Q9NXL9	Q9NXL9	MCM9_HUMAN	DNA helicase MCM9 (hMCM9) (EC 5.6.2.4) (DNA 3'-5' helicase MCM9) (Mini-chromosome maintenance deficient domain-containing protein 1) (Minichromosome maintenance 9)	MCM9 C6orf61 MCMDC1	Homo sapiens (Human)	auto	
MMP27	Q9H306	MMP27_HUMAN	Matrix metalloproteinase-27 (MMP-27) (EC 3.4.24.-)	MMP27	Homo sapiens (Human)	auto	
MSANTD2	Q6P1R3	MSD2_HUMAN	Myb/SANT-like DNA-binding domain-containing protein 2	MSANTD2 C11orf61	Homo sapiens (Human)	auto	
MSN	P26038	MOES_HUMAN	Moesin (Membrane-organizing extension spike protein)	MSN	Homo sapiens (Human)	auto	
Q00872	Q00872	MYPC1_HUMAN	Myosin-binding protein C, slow-type (Slow MyBP-C) (C-protein, skeletal muscle slow isoform)	MYBPC1 MYBPCS	Homo sapiens (Human)	auto	
P60660	P60660	MYL6_HUMAN	Myosin light polypeptide 6 (17 kDa myosin light chain (LC17)) (Myosin light chain 3 (MLC-3)) (Myosin light chain alkali 3 (Myosin light chain A3)) (Smooth muscle and nonmuscle myosin light chain alkali 6)	MYL6	Homo sapiens (Human)	auto	
MYO7A	Q13402	MYO7A_HUMAN	Unconventional myosin-VIIa	MYO7A USH1B	Homo sapiens (Human)	auto	
P52179	P52179	MYOM1_HUMAN	Myomesin-1 (190 kDa connectin-associated protein) (190 kDa titin-associated protein) (Myomesin family member 1)	MYOM1	Homo sapiens (Human)	auto	
NBPF19	A0A087WUL8	NBPFJ_HUMAN	NBPF family member NBPF19 (Neuroblastoma breakpoint family member 19)	NBPF19	Homo sapiens (Human)	auto	
NBPF9	P0DPF3	NBPF9_HUMAN	NBPF family member NBPF9 (Neuroblastoma breakpoint family member 9)	NBPF9	Homo sapiens (Human)	auto	
P52298	P52298	NCBP2_HUMAN	Nuclear cap-binding protein subunit 2 (20 kDa nuclear cap-binding protein) (Cell proliferation-inducing gene 55 protein) (NCBP 20 kDa subunit (CBP20)) (NCBP-interacting protein 1 (NIP1))	NCBP2 CBP20	Homo sapiens (Human)	auto	
Q9HCD5	Q9HCD5	NCOA5_HUMAN	Nuclear receptor coactivator 5 (NCoA-5) (Coactivator independent of AF-2 (CIA))	NCOA5 KIAA1637	Homo sapiens (Human)	auto	
Q9H3R1	Q9H3R1	NDST4_HUMAN	N-heparan sulfate sulfotransferase 4 (NDST-4) (EC 2.8.2.8)	NDST4 HSST4	Homo sapiens (Human)	auto	
