From	Entry	Entry Name	Protein names	Gene Names	Organism	Source	Notes
"WD repeat-containing protein 1	WDR1"	O75083	WDR1_HUMAN	WD repeat-containing protein 1 (Actin-interacting protein 1 (AIP1)) (NORI-1)	WDR1	Homo sapiens (Human)	auto	
"10 kDa heat shock protein, mitochondrial	HSPE1"	P61604	CH10_HUMAN	10 kDa heat shock protein, mitochondrial (Hsp10) (10 kDa chaperonin) (Chaperonin 10 (CPN10)) (Early-pregnancy factor (EPF)) (Heat shock protein family E member 1)	HSPE1	Homo sapiens (Human)	auto	
"40S Ribosomal protein S2	RPS2"	P15880	RS2_HUMAN	Small ribosomal subunit protein uS5 (40S ribosomal protein S2) (40S ribosomal protein S4) (Protein LLRep3)	RPS2 RPS4	Homo sapiens (Human)	auto	
"40S ribosomal protein S3a	RPS3A"	P61247	RS3A_HUMAN	Small ribosomal subunit protein eS1 (40S ribosomal protein S3a) (v-fos transformation effector protein (Fte-1))	RPS3A FTE1 MFTL	Homo sapiens (Human)	auto	
40S ribosomal protein S4	P62701	RS4X_HUMAN	Small ribosomal subunit protein eS4, X isoform (40S ribosomal protein S4) (SCR10) (Single copy abundant mRNA protein)	RPS4X CCG2 RPS4 SCAR	Homo sapiens (Human)	user-reviewed	Site R77 is Arg in RPS4X but Ser in RPS2; Total arg 22 matches RPS4X exactly (RPS2 has 24). Row 85 separately covers RPS2 at R284.
"40S ribosomal protein S6	RPS6"	P62753	RS6_HUMAN	Small ribosomal subunit protein eS6 (40S ribosomal protein S6) (Phosphoprotein NP33)	RPS6	Homo sapiens (Human)	auto	
"40S ribosomal protein S9	RPS9"	P46781	RS9_HUMAN	Small ribosomal subunit protein uS4 (40S ribosomal protein S9)	RPS9	Homo sapiens (Human)	auto	
"40S ribosomal protein S10	RPS10"	P46783	RS10_HUMAN	Small ribosomal subunit protein eS10 (40S ribosomal protein S10)	RPS10	Homo sapiens (Human)	auto	
"40S ribosomal protein S11	RPS11"	P62280	RS11_HUMAN	Small ribosomal subunit protein uS17 (40S ribosomal protein S11)	RPS11	Homo sapiens (Human)	auto	
"40S ribosomal protein S18	RPS18"	P62269	RS18_HUMAN	Small ribosomal subunit protein uS13 (40S ribosomal protein S18) (Ke-3 (Ke3))	RPS18 D6S218E	Homo sapiens (Human)	auto	
"40S ribosomal protein S27	RPS27"	P42677	RS27_HUMAN	Small ribosomal subunit protein eS27 (40S ribosomal protein S27) (Metallopan-stimulin 1 (MPS-1))	RPS27 MPS1	Homo sapiens (Human)	auto	
"60S acidic ribosomal protein P2	RPLP2"	P05387	RLA2_HUMAN	Large ribosomal subunit protein P2 (60S acidic ribosomal protein P2) (Renal carcinoma antigen NY-REN-44)	RPLP2 D11S2243E RPP2	Homo sapiens (Human)	auto	
"60S ribosomal protein L6	RPL6"	Q02878	RL6_HUMAN	Large ribosomal subunit protein eL6 (60S ribosomal protein L6) (Neoplasm-related protein C140) (Tax-responsive enhancer element-binding protein 107 (TaxREB107))	RPL6 TXREB1	Homo sapiens (Human)	auto	
"60S ribosomal protein L10a	RPL10A"	P62906	RL10A_HUMAN	Large ribosomal subunit protein uL1 (60S ribosomal protein L10a) (CSA-19) (Neural precursor cell expressed developmentally down-regulated protein 6 (NEDD-6))	RPL10A NEDD6	Homo sapiens (Human)	auto	
"60S ribosomal protein L12	RPL12"	P30050	RL12_HUMAN	Large ribosomal subunit protein uL11 (60S ribosomal protein L12)	RPL12	Homo sapiens (Human)	auto	
"60S ribosomal protein L13	RPL13"	P26373	RL13_HUMAN	Large ribosomal subunit protein eL13 (60S ribosomal protein L13) (Breast basic conserved protein 1)	RPL13 BBC1	Homo sapiens (Human)	auto	
